,0
g_{0},-5.507146488
g_{1},-4.410712277572
g_{2},-5.068037967796
g_{3},0.0
g_{4},0.0
g_{5},-14.155355806308
"p_{0,0}",-9.957082632227
"p_{0,1}",-10.61008939896
"p_{0,2}",-15.503336559286
"p_{0,3}",-15.506177158335
"p_{0,4}",-16.128616147526
"p_{0,5}",-16.158981646002
"p_{0,6}",-20.579880077825
"p_{0,7}",-20.58744571301
"p_{0,8}",-20.561159767669
"p_{0,9}",-20.576040312948
"p_{0,10}",-15.027534356058
"p_{0,11}",-14.371878861876
"p_{0,12}",-21.223196167227
"p_{0,13}",-21.240639161557
"p_{0,14}",-15.689832795606
"p_{0,15}",-10.625184084858
"p_{0,16}",-20.58961256288
"p_{0,17}",-21.247074502307
"p_{0,18}",-21.67201088729
"p_{0,19}",-21.699462898826
"p_{0,20}",-26.756512206027
"p_{0,21}",-26.764572561988
"p_{0,22}",-26.767419722457
"p_{0,23}",-26.774039693458
"p_{0,24}",-26.786529207336
"p_{0,25}",-26.757385961418
"p_{0,26}",-21.232509013541
"p_{0,27}",-16.101415179344
"p_{0,28}",-26.721879740644
"p_{0,29}",-26.774873072574
"p_{0,30}",-26.790998990501
"p_{0,31}",-31.838388408596
"p_{0,32}",-31.840100445482
"p_{0,33}",-26.780762721247
"p_{0,34}",-31.860446496951
"p_{0,35}",-31.861437663531
"p_{0,36}",-26.802806820137
"p_{0,37}",-26.78973611303
"p_{0,38}",-31.854791053053
"p_{0,39}",-31.859326894569
"p_{0,40}",-25.65156196121
"p_{0,41}",-25.650637293046
"p_{0,42}",-25.65298032179
"p_{0,43}",-31.844070007248
"p_{0,44}",-31.848807156423
"p_{0,45}",-31.803150346035
"p_{0,46}",-26.311680809559
"p_{0,47}",-31.866560685518
"p_{0,48}",-31.870065705858
"p_{0,49}",-26.308082833626
"p_{0,50}",-31.873808693783
"p_{0,51}",-16.17010825797
"p_{0,52}",-16.799648769558
"p_{0,53}",-16.816490343651
"p_{0,54}",-11.264322750586
"p_{0,55}",-16.828058757086
"p_{0,56}",-31.864305970517
"p_{0,57}",-31.864727654757
"p_{0,58}",-27.378419794625
"p_{0,59}",-26.739373043025
"p_{0,60}",-27.43255947605
"p_{0,61}",-27.441207471255
"p_{0,62}",-26.788864497182
"p_{0,63}",-27.452646385677
"p_{0,64}",-26.778601449551
"p_{0,65}",-26.803610635539
"p_{0,66}",-27.436999905102
"p_{0,67}",-27.432640210587
"p_{0,68}",-27.423302731006
"p_{0,69}",-26.716224079196
"p_{0,70}",-27.429050918106
"p_{0,71}",-27.453235477506
"p_{0,72}",-27.458150103975
"p_{0,73}",-27.448295518911
"p_{0,74}",-21.901565791971
"p_{0,75}",-26.778953184596
"p_{0,76}",-26.777381438217
"p_{0,77}",-31.863529449878
"p_{0,78}",-31.852910490736
"p_{0,79}",-31.868533935129
"p_{0,80}",-21.892850823569
"p_{0,81}",-31.795213435362
"p_{0,82}",-21.239315805305
"p_{0,83}",-26.721084842013
"p_{0,84}",-27.443359876065
"p_{0,85}",-31.85925833864
"p_{0,86}",-31.858150869858
"p_{0,87}",-26.774554083678
"p_{0,88}",-27.429624803325
"p_{0,89}",-26.722233034156
"p_{0,90}",-27.423302313473
"p_{0,91}",-27.373358130419
"p_{0,92}",-31.788804237499
"p_{0,93}",-31.860667487116
"p_{0,94}",-27.429619003622
"p_{0,95}",-26.774548768571
"p_{0,96}",-27.450119481746
"p_{0,97}",-21.896495495964
"p_{0,98}",-27.444793747469
"p_{0,99}",-31.858586446765
"p_{0,100}",-27.45814581746
"p_{0,101}",-21.894837873092
"p_{0,102}",-31.862237361779
"p_{0,103}",-31.859091953869
"p_{0,104}",-31.868534654643
"p_{0,105}",-26.786424624243
"p_{0,106}",-26.793871784758
"p_{0,107}",-27.413840791091
"p_{0,108}",-27.441769130335
"p_{0,109}",-31.864709085797
"p_{0,110}",-31.845280314012
"p_{0,111}",-27.448286272883
"p_{0,112}",-26.795726239349
